Licensee Name,Doing Business As,License Type,Issue Date,License Number,Street Address,City,State,Zip,Location
PARKSIDE EVENTS LLC,PARKSIDE EVENTS,Lodging & Entertainment (City),07/13/18,4709803,1859 YORK STREET,Denver,CO,80205,"1859 YORK STREET
Denver, CO 80205
(39.745846, -104.959772)"
BELL'S BREWERY INC,BELL'S BREWERY INC,3.2% Nonresident Manufacturer,07/12/18,4600760,8938 KRUM AVENUE,Comstock,MI,49041,"8938 KRUM AVENUE
Comstock, MI 49041
(42.28509, -85.453535)"
LOHI DISTILLED LLC,MYTHOLOGY DISTILLERY,Distillery Pub (City),07/12/18,4709702,3622 TEJON STREET,Denver,CO,80211,"3622 TEJON STREET
Denver, CO 80211
(39.767101, -105.011208)"
"GRAPEVINE OF NORTH CAROLINA, INC.",GRAPEVINE DISTRIBUTORS,Importer (vinous & spirituous),07/12/18,4709730,4375 REPUBLIC COURT,Concord,NC,28027,"4375 REPUBLIC COURT
Concord, NC 28027
(35.421274, -80.651267)"
BRIX BREWERY LLC,BRIX TAPHOUSE & BREWERY,Brew Pub (city),07/12/18,4710264,813 8TH STREET,Greeley,CO,80631,"813 8TH STREET
Greeley, CO 80631
(40.424869, -104.691613)"
"NEELY WINE, LLC",NEELY WINE,Wine Delivery Permit,07/12/18,4710267,555 PORTOLA ROAD,Portola Valley,CA,94028,"555 PORTOLA ROAD
Portola Valley, CA 94028
(37.382879, -122.23141)"
TRESPASS VINEYARDS INC.,TRESPASS VINEYARDS INC.,Wine Delivery Permit,07/12/18,4710275,4708 SILVERADO TRAIL,Calistoga,CA,94515,"4708 SILVERADO TRAIL
Calistoga, CA 94515
(38.579224, -122.555991)"
MAGIC CIRCLE PLAYERS LTD,MAGIC CIRCLE PLAYERS LTD,Arts License (city),07/12/18,4710211,420 SOUTH 12TH STREET,Montrose,CO,81401,"420 SOUTH 12TH STREET
Montrose, CO 81401
(38.470394, -107.866275)"
SHELBURNE VINEYARD,SHELBURNE VINEYARD,Wine Delivery Permit,07/12/18,4710236,6308 SHELBURNE ROAD,Shelburne,VT,5482,"6308 SHELBURNE ROAD
Shelburne, VT 05482
(44.366242, -73.23302)"
BETA GROUP LLC,IMPROPER CITY,Tavern (city),07/12/18,4709688,3201 WALNUT STREET,Denver,CO,80205,"3201 WALNUT STREET
Denver, CO 80205
(39.765297, -104.978372)"
HM HALL LLC,HM HALL,Hotel & Restaurant (city),07/12/18,4709529,2700 LARIMER STREET,Denver,CO,80205,"2700 LARIMER STREET
Denver, CO 80205
(39.759601, -104.983992)"
COMMERCE LIQUORS INC.,LIQUOR PLUS II,Liquor Store (city),07/12/18,4709748,5281 EAST 52ND AVENUE,Commerce City,CO,80022,"5281 EAST 52ND AVENUE
Commerce City, CO 80022
(39.791071, -104.925842)"
WAYFINDER CO-OP LCA,WAYFINDER CO-OP,Beer & Wine (city),07/11/18,4709774,525 SANTA FE DRIVE,Denver,CO,80204,"525 SANTA FE DRIVE
Denver, CO 80204
(39.724364, -104.998605)"
MI LINDO MICHOACAN LLC,MI LINDO MICHOACAN LLC,Hotel & Restaurant (city),07/11/18,4709264,1733 RAILROAD AVENUE SUITE C,Rifle,CO,81650,"1733 RAILROAD AVENUE SUITE C
Rifle, CO 81650
(39.545431, -107.783459)"
RED BARN LIQUORS LLC,RED BARN LIQUORS,Liquor Store (city),07/11/18,4710164,3807 COUNTY ROAD 48,Johnstown,CO,80534,
"HERON LAKES GOLF OPERATIONS, LLC",TPC COLORADO,Hotel & Restaurant / Optional (city),07/11/18,4709964,2975 TPC PARKAWAY,Berthoud,CO,80513,
AMERICAN CULTURES LLC,AMERICAN CULTURES,Tavern (city),07/11/18,4709946,3233 TEJON STREET UNIT 107,Denver,CO,80211,"3233 TEJON STREET UNIT 107
Denver, CO 80211
(39.762856, -105.011174)"
ONE POINT SIX NORTH LLC,ONE POINT SIX NORTH,Hotel & Restaurant (city),07/11/18,4710046,405 5TH STREET,Berthoud,CO,80513,"405 5TH STREET
Berthoud, CO 80513
(40.30458, -105.081116)"
LIRANO WINE BAR INC.,LIRANO WINE BAR,Tavern (city),07/11/18,4710047,3600 MITCHELL DRIVE #5,Fort Collins,CO,80525,"3600 MITCHELL DRIVE #5
Fort Collins, CO 80525
(40.537405, -105.075516)"
"SAVOY COLLABORATIONS, LLC",SAVOY COLLABORATIONS,Tavern (city),07/11/18,4710092,2700 ARAPAHOE STREET,Denver,CO,80205,"2700 ARAPAHOE STREET
Denver, CO 80205
(39.758285, -104.98221)"
EMMA GROUP LLC,ROOSTERS,Hotel & Restaurant (city),07/11/18,4710161,348 MAIN STREET,Carbondale,CO,81623,"348 MAIN STREET
Carbondale, CO 81623
(39.400543, -107.21065)"
ARLO'S PLACE INC,ARLO'S PLACE,Hotel & Restaurant (city),07/11/18,4710215,237 MAIN STREET,Mead,CO,80542,"237 MAIN STREET
Mead, CO 80542
(40.193723, -105.523118)"
"ERNEST VINEYARDS, LLC","ERNEST VINEYARDS, LLC",Wine Delivery Permit,07/11/18,4710241,1160 HOPPER AVENUE,Santa Rosa,CA,95403,"1160 HOPPER AVENUE
Santa Rosa, CA 95403
(38.47972, -122.741082)"
"RIVERSTAR WINERY, LLC",RIVERSTAR VINEYARDS,Wine Delivery Permit,07/11/18,4710235,7440 & 7450 ESTRELLA ROAD,San Miguel,CA,93451,"7440 &amp; 7450 ESTRELLA ROAD
San Miguel, CA 93451
(35.718502, -120.642971)"
"BELVEDERE ART TILE, LLC",BELVEDERE ARTS LTD,Art Gallery Permit,07/11/18,4710243,2363 EAGLE DRIVE,Pagosa Springs,CO,81147,"2363 EAGLE DRIVE
Pagosa Springs, CO 81147
(37.268964, -107.04875)"
"DEVOTO-WADE, LLC",GOLDEN STATE CIDER,Wine Delivery Permit,07/11/18,4710244,1446 INDUSTRIAL AVENUE,Sebastopol,CA,95472,"1446 INDUSTRIAL AVENUE
Sebastopol, CA 95472
(38.385297, -122.811027)"
BUTTE THEATER THE,BUTTE THEATER THE,Tavern (city),07/11/18,4710234,139 EAST BENNETT AVENUE,Cripple Creek,CO,80813,"139 EAST BENNETT AVENUE
Cripple Creek, CO 80813
(38.746556, -105.179599)"
RIVER BAR & GRILL LLC,RIVER BAR AND GRILL,Tavern (city),07/10/18,4710227,1319 RAILROAD AVENUE,Dolores,CO,81323,"1319 RAILROAD AVENUE
Dolores, CO 81323
(37.474963, -108.493057)"
HIGH STREET BREWING LLC,BLUE TILE BREWING,Wholesale Beer (malt liquor),07/10/18,4709761,1609 EAST 58TH AVENUE,Denver,CO,80216,"1609 EAST 58TH AVENUE
Denver, CO 80216
(39.801909, -104.9686)"
,BLUE TILE BREWING,Manufacturer (brewery),07/10/18,4709762,1609 EAST 58TH AVENUE,Denver,CO,80216,"1609 EAST 58TH AVENUE
Denver, CO 80216
(39.801909, -104.9686)"
"BURNS FAMILY ARTISAN ALES, LLC",BURNS FAMILY ARTISAN ALES,Manufacturer (brewery),07/10/18,4709865,"2505 WEST 2ND AVENUE, UNITS 12 & 13",Denver,CO,80219,"2505 WEST 2ND AVENUE, UNITS 12 &amp; 13
Denver, CO 80219
(39.720259, -105.017706)"
"BURNS FAMILY ARTISAN ALES, LLC",BURNS FAMILY ARTISAN ALES,Wholesale Beer (malt liquor),07/10/18,4709866,"2505 WEST 2ND AVENUE, UNITS 12 & 13",Denver,CO,80219,"2505 WEST 2ND AVENUE, UNITS 12 &amp; 13
Denver, CO 80219
(39.720259, -105.017706)"
DMK INCORPORATED,DMK INCORPORATED,Importer (vinous & spirituous),07/10/18,4710016,13680 WEST 30TH PLACE,Golden,CO,80401,"13680 WEST 30TH PLACE
Golden, CO 80401
(39.759664, -105.152835)"
HEAVEN HILL SALES CO.,HEAVEN HILL SALES CO.,Importer (vinous & spirituous),07/10/18,4709652,1064 LORETTO ROAD,Bardstown,KY,40004,"1064 LORETTO ROAD
Bardstown, KY 40004
(37.786974, -85.465651)"
GALLAGER INC,CYPRUS CAFE,Hotel & Restaurant (city),07/10/18,4710104,725 EAST 2ND AVENUE,Durango,CO,81301,"725 EAST 2ND AVENUE
Durango, CO 81301
(37.271521, -107.879882)"
CHUONG INC.,GINGER,Hotel & Restaurant (city),07/09/18,4710086,3392 WEST 38TH AVENUE,Denver,CO,80211,"3392 WEST 38TH AVENUE
Denver, CO 80211
(39.769463, -105.032174)"
HAZEL LIMITED,HAZEL,Tavern (city),07/09/18,4709948,1581 SOUTH PEARL STREET,Denver,CO,80210,"1581 SOUTH PEARL STREET
Denver, CO 80210
(39.687899, -104.980417)"
"HUNGRY DAWGS, LLC",WINGCHESTERS,Hotel & Restaurant (city),07/09/18,4709927,5428 SOUTH PARKER ROAD,Aurora,CO,80015,"5428 SOUTH PARKER ROAD
Aurora, CO 80015
(39.616348, -104.817613)"
SUN GOLF COLORADO CORP.,SUNSET GOLF COURSE,Hotel & Restaurant / Optional (city),07/09/18,4709931,1900 LONGS PEAK AVENUE,Longmont,CO,80501,"1900 LONGS PEAK AVENUE
Longmont, CO 80501
(40.1705, -105.125468)"
MOLAVI CORP.,DTC WINE & SPIRITS,Liquor Store (city),07/09/18,4710154,4920 SOUTH YOSIMITE STREET C-1,Greenwood Village,CO,80111,
MELA INC.,BOTTLE SHOP,Liquor Store (city),07/09/18,4710224,876 SOUTH HAVANA STREET,Aurora,CO,80012,"876 SOUTH HAVANA STREET
Aurora, CO 80012
(39.700547, -104.865961)"
WL CARLSON LIQUORS INC,COLUMBINE LIQUORS,Liquor Store (city),07/09/18,4709543,210 WEST 3RD STREET,Palisade,CO,81526,"210 WEST 3RD STREET
Palisade, CO 81526
(39.110307, -108.352365)"
"M&TR, INC.",AVONDALE LIQUORS,Liquor Store (city),07/09/18,4710174,1365 FEDERAL BOULEVARD,Denver,CO,80204,"1365 FEDERAL BOULEVARD
Denver, CO 80204
(39.73772, -105.025292)"
DHRUBA TARA INC.,OASIS LIQUORS,Liquor Store (county),07/09/18,4710002,7649 MCLAUGLIN ROAD,Peyton,CO,80831,"7649 MCLAUGLIN ROAD
Peyton, CO 80831
(38.94215, -104.603804)"
"HAWEES ENTERPRISES, INC. & 7-ELEVEN, INC.",7-ELEVEN STORE 19015B,3.2% Beer Off Premises (city),07/09/18,4600809,4096 SOUTH FEDERAL BOULEVARD,Englewood,CO,80110,"4096 SOUTH FEDERAL BOULEVARD
Englewood, CO 80110
(39.64252, -105.02535)"
DHUNGEL ENTERPRISE INC.,CITY MART,3.2% Beer Off Premises (city),07/09/18,4600820,3457 SOUTH WADSWORTH BOULEVARD,Lakewood,CO,80227,"3457 SOUTH WADSWORTH BOULEVARD
Lakewood, CO 80227
(39.654259, -105.081493)"
KRAUSE FAMILY CELLARS LLC,CINDER,Wine Delivery Permit,07/09/18,4710112,107 EAST 44TH STREET,Garden City,ID,83714,"107 EAST 44TH STREET
Garden City, ID 83714
(43.634391, -116.253964)"
"CARLIN ENTERPRISES TWO, INC.",CARMINES PIZZA & PASTA,Hotel & Restaurant (city),07/06/18,4710240,9500 HERITAGE HILLS CIRCLE,Lone Tree,CO,80124,"9500 HERITAGE HILLS CIRCLE
Lone Tree, CO 80124
(39.537549, -104.879467)"
PILOT TRAVEL CENTERS LLC,PILOT TRAVEL CENTER #1110,3.2% Beer Off Premises (city),07/06/18,4600814,15455 TERRAZZO DRIVE,Monument,CO,80132,
"LUCKY'S MARKET OPERATING COMPANY, LLC",LUCKY'S MARKET,3.2% Beer On/Off Premises (city),07/06/18,4600795,3545 WADSWORTH BOULEVARD,Wheat Ridge,CO,80033,"3545 WADSWORTH BOULEVARD
Wheat Ridge, CO 80033
(39.766193, -105.08147)"
"PAONIA LIQUORS, LLC",PAONIA LIQUORS,Liquor Store (city),07/06/18,4710199,4 THIRD STREET,Paonia,CO,81428,"4 THIRD STREET
Paonia, CO 81428
(38.868612, -107.600087)"
M & S LLC,MCNALLY'S LIQUOR,Liquor Store (city),07/06/18,4710209,1950 SOUTH HOLLY STREET #1,Denver,CO,80222,"1950 SOUTH HOLLY STREET #1
Denver, CO 80222
(39.681484, -104.922271)"
RUN FOR THE ROSES LLC,RUN FOR THE ROSES,Tavern (city),07/06/18,4709676,1801 BLAKE STREET UNIT 10,Denver,CO,80202,"1801 BLAKE STREET UNIT 10
Denver, CO 80202
(39.752578, -104.99652)"
CB THEATER EXPERIENCE LLC,CINEBISTRO AT SOLARIS,Hotel & Restaurant (city),07/06/18,4709403,141 EAST MEADOW DRIVE #104,Vail,CO,81657,"141 EAST MEADOW DRIVE #104
Vail, CO 81657
(39.642149, -106.375025)"
NOTEBOOK CORP.,THE LIBRARY CO. BAR & KITCHEN,Hotel & Restaurant (city),07/06/18,4709789,"3911 AMBROSIA STREET, SUITE 101",Castle Rock,CO,80109,"3911 AMBROSIA STREET, SUITE 101
Castle Rock, CO 80109
(39.402717, -104.886055)"
ORION SUSHI INC,ORION SUSHI,Hotel & Restaurant (city),01/28/19,03-11048,11068 WEST JEWELL AVENUE SUITE C-9,Lakewood,CO,80232,
RACE-O-RAMA IN THE ROCKIES LLC,1UP GREENWOOD VILLAGE,Hotel & Restaurant (city),07/06/18,4710193,6864 SOUTH CLINTON COURT,Greenwood Village,CO,80112,"6864 SOUTH CLINTON COURT
Greenwood Village, CO 80112
(39.59265, -104.878859)"
"BELLA LA CREMA, LLC","BELLA LA CREMA, LLC",Beer & Wine (city),07/05/18,4710177,405 MAIN STREET,Lyons,CO,80540,"405 MAIN STREET
Lyons, CO 80540
(40.224666, -105.270226)"
CATERING BY LOMBARDI LLC,BRAVOS ITALIAN RESTAURANT,Hotel & Restaurant (city),07/05/18,4710102,"10691 MELODY DRIVE, UNIT C & E",Northglenn,CO,80234,"10691 MELODY DRIVE, UNIT C &amp; E
Northglenn, CO 80234
(39.890554, -104.993241)"
LITTLE PUB #29 LLC,THE HOUND SPORTS PUB & BURGER,Hotel & Restaurant (city),07/05/18,4709842,3575 SOUTH YOSEMITE STREET,Denver,CO,80237,"3575 SOUTH YOSEMITE STREET
Denver, CO 80237
(39.651293, -104.884915)"
"EHLEN PROPERTIES, LLP",BUZZARD'S PIZZA,Beer & Wine (city),07/05/18,4709551,344 EAST KLOWA AVENUE,Elizabeth,CO,80107,"344 EAST KLOWA AVENUE
Elizabeth, CO 80107
(39.361455, -104.596305)"
CRESTED BUTTE GROCERY LLC,CLARK'S MARKET,3.2% Beer Off Premises (city),07/05/18,4600825,500 BELLEVIEW AVENUE,Crested Butte,CO,81224,"500 BELLEVIEW AVENUE
Crested Butte, CO 81224
(38.867063, -106.981737)"
BALBOA WINERY LLC,"BALBOA, BALBOA WINERY, BERESAN",Wine Delivery Permit,07/05/18,4709824,4169 PEPPERS BRIDGE ROAD,Walla Walla,WA,99362,"4169 PEPPERS BRIDGE ROAD
Walla Walla, WA 99362
(46.007581, -118.383325)"
MATILDA ENTERPRISES LLC,FREIGHT,Optional Premises (city),07/05/18,4710143,320 EAST 9TH STREET,Leadville,CO,80461,"320 EAST 9TH STREET
Leadville, CO 80461
(39.252206, -106.28811)"
FREMONT CENTER FOR THE ARTS,FREMONT CENTER FOR THE ARTS,Art Gallery Permit,07/03/18,4710022,505 MACON AVENUE,Canon City,CO,81212,"505 MACON AVENUE
Canon City, CO 81212
(38.441531, -105.240934)"
"GOLDEN GLOBAL GOODS, INC.","GOLDEN GLOBAL GOODS, INC.",Manufacturer (distillery & rectifier),07/03/18,4709886,4420 GLENCOE STREET,Denver,CO,80216,"4420 GLENCOE STREET
Denver, CO 80216
(39.779427, -104.925813)"
WORLD WINE LLC,"WORLD WINE, LLC",Importer (vinous & spirituous),07/03/18,4709918,12623 STONE CREEK COURT,Longmont,CO,80504,"12623 STONE CREEK COURT
Longmont, CO 80504
(40.183523, -104.965543)"
DOS LUCES BREWERY LLC,DOS LUCES BREWERY,Wholesale Beer (malt liquor),07/03/18,4708559,1236 SOUTH BROADWAY,Denver,CO,80210,"1236 SOUTH BROADWAY
Denver, CO 80210
(39.694046, -104.987386)"
DOS LUCES BREWERY LLC,DOS LUCES BREWERY,Manufacturer (brewery),07/03/18,4708560,1236 SOUTH BROADWAY,Denver,CO,80210,"1236 SOUTH BROADWAY
Denver, CO 80210
(39.694046, -104.987386)"
JAZZEY INC.,JAZZEY'S FOOD MART,3.2% Beer Off Premises (city),07/03/18,4600830,1539 8TH AVENUE,Greeley,CO,80631,"1539 8TH AVENUE
Greeley, CO 80631
(40.414135, -104.690933)"
JUGGY INC.,JUGGY'S FOOD MART,3.2% Beer Off Premises (city),07/03/18,4600831,2201 8TH AVENUE,Greeley,CO,80631,"2201 8TH AVENUE
Greeley, CO 80631
(40.40242, -104.691097)"
HOB SUMMIT MH CORP,SUMMIT MUSIC HALL,Hotel & Restaurant (city),07/03/18,4709440,1902 BLAKE STREET,Denver,CO,80205,"1902 BLAKE STREET
Denver, CO 80205
(39.753521, -104.995313)"
"CLUB KARMA, LLC","CLUB KARMA, LLC",Tavern (city),07/03/18,4709908,2121 SOUTH SHERIDAN BOULEVARD,Denver,CO,80227,"2121 SOUTH SHERIDAN BOULEVARD
Denver, CO 80227
(39.678697, -105.053288)"
RYHI LLC,CHOW MORSO,Hotel & Restaurant (city),07/03/18,4709909,"1500 WYNKOOP STREET, SUITE 101",Denver,CO,80202,"1500 WYNKOOP STREET, SUITE 101
Denver, CO 80202
(39.751137, -105.001896)"
FS CHAMBERS LLC,FAT SHACK AURORA,Hotel & Restaurant (city),07/03/18,4709818,1708 SOUTH CHAMBERS ROAD,Aurora,CO,80017,"1708 SOUTH CHAMBERS ROAD
Aurora, CO 80017
(39.68556, -104.809787)"
"ZOMO, LLC",ZOMO,Hotel & Restaurant (city),07/03/18,4710090,3457 SOUTH BROADWAY,Englewood,CO,80113,"3457 SOUTH BROADWAY
Englewood, CO 80113
(39.653846, -104.987696)"
FARMHOUSE TAP LLC,FARMHOUSE TAP,Tavern (city),07/03/18,4710074,4361 SOUTH BROADWAY,Englewood,CO,80113,"4361 SOUTH BROADWAY
Englewood, CO 80113
(39.637521, -104.987883)"
GRUBBYZ LLC,GRUBBY'Z,Tavern (city),07/02/18,4710178,206 MAIN AVENUE,Pierce,CO,80650,"206 MAIN AVENUE
Pierce, CO 80650
(40.635485, -104.751624)"
MARISCOS MR. PERALTA INC,MARISCOS MR. PERALTA,Hotel & Restaurant (city),07/02/18,4709801,3900 NORTH OSAGE STREET,Denver,CO,80211,"3900 NORTH OSAGE STREET
Denver, CO 80211
(39.770677, -105.005436)"
BARBERSHOP VENTURES LLC,BARBERX,Beer & Wine (city),07/02/18,4709906,3320 BRIGHTON BOULEVARD #100,Denver,CO,80216,"3320 BRIGHTON BOULEVARD #100
Denver, CO 80216
(39.768864, -104.980755)"
257 COUNTRYSIDE LIQUORS LLC,257 COUNTRYSIDE LIQUORS,Liquor Store (city),07/02/18,4709378,23175 HIGHWAY 257,Milliken,CO,80543,"23175 HIGHWAY 257
Milliken, CO 80543
(40.337249, -104.86772)"
THE DEVIL YOU KNOW BREWING COMPANY LLC,GORILLA ALCHEMY,Wholesale Beer (malt liquor),07/02/18,4709710,815 7TH STREET,Fort Lupton,CO,80621,"815 7TH STREET
Fort Lupton, CO 80621
(40.085915, -104.80923)"
"THE DEVIL YOU KNOW BREWING, LLC",GORILLA ALCHEMY,Manufacturer (brewery),07/02/18,4709711,815 7TH STREET,Fort Lupton,CO,80621,"815 7TH STREET
Fort Lupton, CO 80621
(40.085915, -104.80923)"
,CECILA MAE MUNFORD,Manager Permit (LLDS),06/29/18,4710107,7307 SOUTH PLATTE RIVER PARKWAY #306,Littleton,CO,80120,"7307 SOUTH PLATTE RIVER PARKWAY #306
Littleton, CO 80120
(39.585847, -105.026805)"
DILLON COMPANIES LLC,STEVEN DARRELL BERNDT,Manager Permit (LLDS),06/29/18,4710111,1217 RAWHIDE CIRCLE,Elizabeth,CO,80107,"1217 RAWHIDE CIRCLE
Elizabeth, CO 80107
(39.367878, -104.643183)"
DILLON COMPANIES LLC,PATRICIA ANN METTLER,Manager Permit (LLDS),06/29/18,4710096,44 LOWER GLENWAY,Palmer Lake,CO,80133,"44 LOWER GLENWAY
Palmer Lake, CO 80133
(39.119717, -104.914841)"
DILLON COMPANIES LLC,DANIEL RYAN MURRAY,Manager Permit (LLDS),06/29/18,4710097,3006 SOUTH BANNOCK STREET,Englewood,CO,80110,"3006 SOUTH BANNOCK STREET
Englewood, CO 80110
(39.661714, -104.990004)"
DILLON COMPANIES LLC,AMANDA KRISTINE COMERFORD,Manager Permit (LLDS),06/29/18,4710098,3981 STARFLOWER ROAD,Castle Rock,CO,80109,"3981 STARFLOWER ROAD
Castle Rock, CO 80109
(39.412768, -104.905484)"
"KING OF CLUBS WINES, LLC",KING OF CLUBS,Wine Delivery Permit,06/29/18,4710223,"45 ENTERPRISE COURT, UNIT #1,2,3, 4, 7",Napa,CA,94558,"45 ENTERPRISE COURT, UNIT #1,2,3, 4, 7
Napa, CA 94558
(38.260668, -122.274653)"
MARTIAN RANCH & VINEYARD,MARTIAN RANCH & VINEYARD,Wine Delivery Permit,06/29/18,4710229,8900 ALISOS CANYON ROAD,Los Alamos,CA,93440,"8900 ALISOS CANYON ROAD
Los Alamos, CA 93440
(34.751136, -120.187497)"
"ETHEREAL WINE COMPANY, LLC","ETHEREAL WINE COMPANY, LLC",Wholesale (vinous & spirituous),06/29/18,4709924,1280 WEST 47TH AVENUE,Denver,CO,80211,"1280 WEST 47TH AVENUE
Denver, CO 80211
(39.781974, -105.003023)"
SSH TRS M LLC AND IH WL ACQUISITION MANAGER LLC,COURTYARD BY MARRIOTT GRAND JUNCTION,Lodging & Entertainment (City),06/29/18,4709546,765 HORIZON DRIVE,Grand Junction,CO,81506,"765 HORIZON DRIVE
Grand Junction, CO 81506
(39.115356, -108.53356)"
FIVE STAR DINING & GRILL LLC,FIVE STAR DINING & GRILL,Hotel & Restaurant (city),06/29/18,4709304,85 MAIN AVENUE,Akron,CO,80720,"85 MAIN AVENUE
Akron, CO 80720
(40.158957, -103.212778)"
SUMMIT SKY RANCH HOMEOWNERS ASSOCIATION INC,ASPEN HOUSE/SUMMIT SKY RANCH,Tavern (city),06/29/18,4709453,127 MOSS LANDING,Silverthorne,CO,80498,"127 MOSS LANDING
Silverthorne, CO 80498
(39.680335, -106.10597)"
"RJL II-C LOUISVILLE CO LESSEE, LLC AND IH WL ACQUISITION MANAGER, LLC",COURTYARD BY MARRIOTT LOUISVILLE,Hotel & Restaurant (city),06/29/18,4709619,948 WEST DILLON ROAD,Louisville,CO,80027,"948 WEST DILLON ROAD
Louisville, CO 80027
(39.959795, -105.162022)"
HIGH MOUNTAIN MUNCHIES LLC,BAR FOR THE COURSE PUB AND GRILL,Hotel & Restaurant / Optional (county),06/28/18,4709670,2179 HIGHWAY 394,Craig,CO,81625,"2179 HIGHWAY 394
Craig, CO 81625
(40.492447, -107.535339)"
ROSETY SPIRITS INC,ROSETY LIQUORS,Liquor Store (city),06/28/18,4709974,415 VICTOR AVENUE,Victor,CO,80860,"415 VICTOR AVENUE
Victor, CO 80860
(38.710344, -105.141511)"
AMYA LLC,LIQUOR DADDY,Liquor Store (county),06/28/18,4710151,6960 NORTH BROADWAY,Denver,CO,80221,"6960 NORTH BROADWAY
Denver, CO 80221
(39.822745, -104.987452)"
LIQUOR 4 LESS INC.,LIQUOR 4 LESS,Liquor Store (city),06/28/18,4710058,15451 EAST MISSISSIPPI AVENUE UNIT A,Aurora,CO,80017,"15451 EAST MISSISSIPPI AVENUE UNIT A
Aurora, CO 80017
(39.696679, -104.807883)"
777 CO INC.,THE BRASS SADDLE,Hotel & Restaurant (city),06/28/18,4709694,1725 WEST PUEBLO BOULEVARD,Pueblo,CO,81004,"1725 WEST PUEBLO BOULEVARD
Pueblo, CO 81004
(38.218689, -104.631356)"
B&T INC.,BOTTLES & TAPS,Tavern (city),06/28/18,4709707,4763 FLINTRIDGE DRIVE,Colorado Springs,CO,80918,"4763 FLINTRIDGE DRIVE
Colorado Springs, CO 80918
(38.900975, -104.768295)"
PAELLAS LLC,PAELLAS RESTAURANT AND BAKERY,Hotel & Restaurant (city),02/20/19,03-11134,93 COOPER CREEK WAY,Winter Park,CO,80482,
"THE LOST CAJUN- GLENWOOD SPRINGS, LLC",THE LOST CAJUN GLENWOOOD SPRINGS LLC,Hotel & Restaurant (city),06/28/18,4709742,711 GRAND AVENUE,Glenwood Springs,CO,81601,"711 GRAND AVENUE
Glenwood Springs, CO 81601
(39.547567, -107.324683)"
"TOM'S DINER, INC.",TOM'S DINER,Hotel & Restaurant (city),06/28/18,4709984,601 EAST COLFAX AVENUE,Denver,CO,80203,"601 EAST COLFAX AVENUE
Denver, CO 80203
(39.740035, -104.97957)"
LA CABANA DEL AMIGO INC,LA CABANA DEL AMIGO - AKRON,Tavern (city),06/28/18,4710175,90 MAIN AVENUE,Akron,CO,80720,"90 MAIN AVENUE
Akron, CO 80720
(40.159062, -103.212781)"
SCOOPS UPTOWN LLC,SCOOPS,Beer & Wine (city),06/28/18,4710063,1426 EAST 22ND AVENUE,Denver,CO,80205,"1426 EAST 22ND AVENUE
Denver, CO 80205
(39.749461, -104.970251)"
WORLDWIDE LIBATIONS LLC,WORLDWIDE LIBATIONS LLC,Importer (vinous & spirituous),06/28/18,4709369,100 MORNING GLORY ROAD,Warren,NJ,7059,"100 MORNING GLORY ROAD
Warren, NJ 07059
(40.591534, -74.513112)"
RED WINE BOUTIQUE LLC,REDS WINE BOUTIQUE,Limited Winery,06/28/18,4709749,112 SOUTH 3RD AVENUE,Sterling,CO,80751,"112 SOUTH 3RD AVENUE
Sterling, CO 80751
(40.624917, -103.214968)"
CANNONBALL WINE & SPIRITS LLC,SHARE A SPLASH WINE CO.,Wine Delivery Permit,06/28/18,4710157,499 MOORE LANE,Healdsburg,CA,95448,"499 MOORE LANE
Healdsburg, CA 95448
(38.613207, -122.875599)"
SPECTRA ART SPACE,SPECTRA ART SPACE,Art Gallery Permit,06/27/18,4710197,1836 SOUTH BROADWAY STREET,Denver,CO,80210,"1836 SOUTH BROADWAY STREET
Denver, CO 80210
(39.683237, -104.987484)"
"CELLAR D, LLC",CELLAR D,Wine Delivery Permit,06/27/18,4710184,105 ZINFANDEL LANE,Saint Helena,CA,945741631,"105 ZINFANDEL LANE
Saint Helena, CA 945741631
(38.491214, -122.430916)"
METRIC BREWING LLC,METRIC BREWING,Manufacturer (brewery),06/27/18,4709958,1213 NORTH CIRCLE DRIVE,Colorado Springs,CO,80909,"1213 NORTH CIRCLE DRIVE
Colorado Springs, CO 80909
(38.849744, -104.775764)"
METRIC BREWING LLC,METRIC BREWING,Wholesale Beer (malt liquor),06/27/18,4709959,1213 NORTH CIRCLE DRIVE,Colorado Springs,CO,80909,"1213 NORTH CIRCLE DRIVE
Colorado Springs, CO 80909
(38.849744, -104.775764)"
"LOCAL COFFEE HOUSE, LLC",LOCAL COFFEE HOUSE,Hotel & Restaurant (city),06/27/18,4709965,614 EAST COOPER,Aspen,CO,81611,"614 EAST COOPER
Aspen, CO 81611
(39.187763, -106.817509)"
TOLER BROTHERS LLC,TOLER BROTHERS WALK BY GRANDSTAND,Tavern (city),06/27/18,4710033,1001 BEULAH AVENUE COLORADO STATE FAIR WALK BY GRANDSTAND,Pueblo,CO,81004,
RLJ II-S WESTMINSTER LESSEE LLC AND IH WL ACQUISITION MANAGER LLC,SPRINGHILL SUITES WESTMINSTER,Hotel & Restaurant (city),06/27/18,4709431,6845 WEST 103RD AVENUE,Westminster,CO,80021,"6845 WEST 103RD AVENUE
Westminster, CO 80021
(39.882859, -105.072835)"
HOB MARQUIS CORP,THE MARQUIS THEATER,Hotel & Restaurant (city),06/26/18,4709405,2009 LARIMER STREET,Denver,CO,80205,"2009 LARIMER STREET
Denver, CO 80205
(39.753176, -104.99233)"
